1,2,3,4,5,6,7,8,9,10,11,12,15,16,18,20,24
0.3056,0.5556,0.5556,0.5833,0.6111,0.6667,0.4167,0.4722,0.4444,0.3889,0.3611,0.3889,0.3333,0.3333,0.3333,0.3333,0.3333
0.5556,0.3333,0.5833,0.6389,0.6389,0.6667,0.4444,0.4167,0.4722,0.4167,0.3889,0.4167,0.3611,0.3611,0.3611,0.3611,0.3611
0.5556,0.5833,0.3889,0.6667,0.6944,0.7778,0.5,0.5,0.4444,0.4722,0.4444,0.4444,0.4167,0.4167,0.4167,0.4167,0.4167
0.5833,0.6389,0.6667,0.4167,0.7222,0.75,0.5278,0.5278,0.5,0.4444,0.4722,0.4722,0.4444,0.4167,0.4444,0.4444,0.4444
0.6111,0.6389,0.6944,0.7222,0.4167,0.7778,0.5278,0.5278,0.5,0.4722,0.4167,0.5,0.4167,0.4444,0.4444,0.4167,0.4444
0.6667,0.6667,0.7778,0.75,0.7778,0.4722,0.5833,0.5556,0.5278,0.5,0.4722,0.5,0.5,0.5,0.4722,0.5,0.4722
0.4167,0.4444,0.5,0.5278,0.5278,0.5833,0.1667,0.3333,0.3056,0.25,0.2222,0.25,0.1944,0.1944,0.1944,0.1944,0.1944
0.4722,0.4167,0.5,0.5278,0.5278,0.5556,0.3333,0.1667,0.3056,0.25,0.2222,0.2222,0.1944,0.1667,0.1944,0.1944,0.1944
0.4444,0.4722,0.4444,0.5,0.5,0.5278,0.3056,0.3056,0.1389,0.2222,0.1944,0.1944,0.1667,0.1667,0.1667,0.1667,0.1667
0.3889,0.4167,0.4722,0.4444,0.4722,0.5,0.25,0.25,0.2222,0.0833,0.1389,0.1667,0.0833,0.1111,0.1111,0.0833,0.1111
0.3611,0.3889,0.4444,0.4722,0.4167,0.4722,0.2222,0.2222,0.1944,0.1389,0.0556,0.1389,0.0833,0.0833,0.0833,0.0833,0.0833
0.3889,0.4167,0.4444,0.4722,0.5,0.5,0.25,0.2222,0.1944,0.1667,0.1389,0.0833,0.1111,0.0833,0.0833,0.1111,0.0833
0.3333,0.3611,0.4167,0.4444,0.4167,0.5,0.1944,0.1944,0.1667,0.0833,0.0833,0.1111,0.0278,0.0556,0.0556,0.0278,0.0556
0.3333,0.3611,0.4167,0.4167,0.4444,0.5,0.1944,0.1667,0.1667,0.1111,0.0833,0.0833,0.0556,0.0278,0.0556,0.0556,0.0556
0.3333,0.3611,0.4167,0.4444,0.4444,0.4722,0.1944,0.1944,0.1667,0.1111,0.0833,0.0833,0.0556,0.0556,0.0278,0.0556,0.0278
0.3333,0.3611,0.4167,0.4444,0.4167,0.5,0.1944,0.1944,0.1667,0.0833,0.0833,0.1111,0.0278,0.0556,0.0556,0.0278,0.0556
0.3333,0.3611,0.4167,0.4444,0.4444,0.4722,0.1944,0.1944,0.1667,0.1111,0.0833,0.0833,0.0556,0.0556,0.0278,0.0556,0.0278
