1,2,3,4,5,6,7,8,9,10,11,12,15,16,18,20,24
0.0,0.3056,0.3056,0.3056,0.3056,0.3056,0.3056,0.3056,0.3056,0.3056,0.3056,0.3056,0.3056,0.3056,0.3056,0.3056,0.3056
0.3056,0.0,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333
0.3611,0.3611,0.0,0.3889,0.3889,0.3889,0.3889,0.3889,0.3889,0.3889,0.3889,0.3889,0.3889,0.3889,0.3889,0.3889,0.3889
0.3889,0.3611,0.3889,0.0,0.4167,0.4167,0.4167,0.4167,0.4167,0.4167,0.4167,0.4167,0.4167,0.4167,0.4167,0.4167,0.4167
0.4167,0.4167,0.4167,0.4167,0.0,0.4167,0.4167,0.4167,0.4167,0.4167,0.4167,0.4167,0.4167,0.4167,0.4167,0.4167,0.4167
0.4722,0.4444,0.4444,0.4444,0.4722,0.0,0.4722,0.4722,0.4722,0.4722,0.4722,0.4722,0.4722,0.4722,0.4722,0.4722,0.4722
0.1667,0.1667,0.1667,0.1667,0.1667,0.1667,0.0,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
0.1667,0.1389,0.1667,0.1111,0.1667,0.1389,0.1667,0.0,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
0.1389,0.1389,0.1111,0.1389,0.1389,0.1111,0.1389,0.1389,0.0,0.1389,0.1389,0.1389,0.1389,0.1389,0.1389,0.1389,0.1389
0.0833,0.0833,0.0833,0.0833,0.0556,0.0833,0.0833,0.0833,0.0833,0.0,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833
0.0556,0.0556,0.0556,0.0556,0.0556,0.0556,0.0556,0.0556,0.0556,0.0556,0.0,0.0556,0.0556,0.0556,0.0556,0.0556,0.0556
0.0833,0.0833,0.0556,0.0556,0.0833,0.0278,0.0833,0.0556,0.0556,0.0833,0.0833,0.0,0.0833,0.0833,0.0833,0.0833,0.0833
0.0278,0.0278,0.0278,0.0278,0.0,0.0278,0.0278,0.0278,0.0278,0.0,0.0278,0.0278,0.0,0.0278,0.0278,0.0278,0.0278
0.0278,0.0278,0.0278,0.0,0.0278,0.0278,0.0278,0.0,0.0278,0.0278,0.0278,0.0,0.0278,0.0,0.0278,0.0278,0.0278
0.0278,0.0278,0.0278,0.0278,0.0278,0.0,0.0278,0.0278,0.0278,0.0278,0.0278,0.0,0.0278,0.0278,0.0,0.0278,0.0278
0.0278,0.0278,0.0278,0.0278,0.0,0.0278,0.0278,0.0278,0.0278,0.0,0.0278,0.0278,0.0,0.0278,0.0278,0.0,0.0278
0.0278,0.0278,0.0278,0.0278,0.0278,0.0,0.0278,0.0278,0.0278,0.0278,0.0278,0.0,0.0278,0.0278,0.0,0.0278,0.0
