1,2,3,4,5,6,7,8,9,10,11,12,15,16,18,20,24
11,20,20,21,22,24,15,17,16,14,13,14,12,12,12,12,12
20,12,21,23,23,24,16,15,17,15,14,15,13,13,13,13,13
20,21,14,24,25,28,18,18,16,17,16,16,15,15,15,15,15
21,23,24,15,26,27,19,19,18,16,17,17,16,15,16,16,16
22,23,25,26,15,28,19,19,18,17,15,18,15,16,16,15,16
24,24,28,27,28,17,21,20,19,18,17,18,18,18,17,18,17
15,16,18,19,19,21,6,12,11,9,8,9,7,7,7,7,7
17,15,18,19,19,20,12,6,11,9,8,8,7,6,7,7,7
16,17,16,18,18,19,11,11,5,8,7,7,6,6,6,6,6
14,15,17,16,17,18,9,9,8,3,5,6,3,4,4,3,4
13,14,16,17,15,17,8,8,7,5,2,5,3,3,3,3,3
14,15,16,17,18,18,9,8,7,6,5,3,4,3,3,4,3
12,13,15,16,15,18,7,7,6,3,3,4,1,2,2,1,2
12,13,15,15,16,18,7,6,6,4,3,3,2,1,2,2,2
12,13,15,16,16,17,7,7,6,4,3,3,2,2,1,2,1
12,13,15,16,15,18,7,7,6,3,3,4,1,2,2,1,2
12,13,15,16,16,17,7,7,6,4,3,3,2,2,1,2,1
